Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,-0.002885226,0.004730495,0.997118932,0.987916602,1.006407,0.00336791,0.04192441,1.000336848,0.992150576,1.008591,0.002145581,0.000536658,1.027844033,1.014098216,1.041776,0.000142191,0.000594032,1.000924669,0.993378295,1.008528
Female,-0.003244497,0.005568999,0.996760761,0.985940043,1.007700,0.02559854,0.04934226,1.002563133,0.992913996,1.012306,0.001979194,0.000631527,1.025657308,1.009535106,1.042037,0.00030134,0.000699435,1.00196063,0.993072018,1.010929
Male,-0.002521767,0.005833881,0.99748141,0.986140762,1.008952,-0.02067232,0.05170887,0.997934903,0.987871974,1.008100,0.002325805,0.000663281,1.03021787,1.013216486,1.047505,-3.53506E-05,0.000732395,0.999770247,0.990485065,1.009142
Warm All,0.008189701,0.005350597,1.008223328,0.997705168,1.018852,0.1287776,0.06245264,1.012961035,1.000637246,1.025437,0.000354173,0.000591853,1.004543706,0.989738023,1.019571,0.001190978,0.00078109,1.007771399,0.99779271,1.017850
Warm Female,0.009154122,0.006671108,1.009196149,0.996086428,1.022478,0.18088418,0.07773782,1.018253004,1.002855876,1.033887,0.000254084,0.000737451,1.00325757,0.98486678,1.021992,0.001671872,0.000973998,1.01092643,0.998459621,1.023549
Warm Male,0.007134396,0.007115431,1.007159906,0.993211299,1.021304,0.07266641,0.08320264,1.007293107,0.990999671,1.023854,0.000460254,0.000787338,1.005908639,0.986234143,1.025976,0.000666752,0.001038439,1.004343293,0.991143626,1.017719
Cold All,-0.0161801,0.00801512,0.983950095,0.96861338,0.999530,-0.05747779,0.05826697,0.994268708,0.982978427,1.005689,0.004525124,0.000939962,1.059631904,1.03493624,1.084917,-0.000718064,0.000885816,0.995343459,0.984173859,1.006640
Cold Female,-0.016595946,0.009131857,0.983541008,0.966093764,1.001303,-0.04592838,0.06649295,0.995417693,0.982528964,1.008475,0.004231431,0.00107107,1.055655939,1.027667132,1.084407,-0.000698334,0.00100933,0.995471115,0.982752437,1.008354
Cold Male,-0.015728509,0.009478632,0.984394538,0.966275172,1.002854,-0.06986573,0.068725,0.993037776,0.979751145,1.006505,0.004848537,0.001115263,1.06402754,1.034668986,1.094219,-0.000737983,0.001046586,0.995214597,0.982032972,1.008573
Age 0-10 All,-0.007497444,0.007790481,0.992530592,0.977490421,1.007802,-0.0457121,0.06728019,0.995439222,0.982398619,1.008653,0.002673104,0.000888703,1.034807823,1.011991276,1.058139,-0.000148488,0.00097129,0.999035294,0.986749169,1.011474
Age 0-10 Female,-0.008159038,0.010404979,0.991874157,0.971850982,1.012310,-0.1164862,0.0898685,0.988418963,0.971161165,1.005983,0.003495596,0.001186363,1.045759723,1.015092919,1.077353,-0.000212644,0.001295408,0.998618769,0.982273316,1.015236
Age 0-10 Male,-0.006990492,0.00946109,0.993033885,0.974789013,1.011620,0.01186368,0.08169516,1.001187072,0.985283479,1.017347,0.002003485,0.001080849,1.02597626,0.998529351,1.054178,-0.000104872,0.001180755,0.999318564,0.984398498,1.014465
