Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,0.00077266,0.014914687,1.000772958,0.971941049,1.030460,-0.04301894,0.1068008,0.995707346,0.975080887,1.016770,0.002120471,0.001988289,1.027513729,0.977516443,1.080068,0.000320331,0.001887423,1.002084322,0.978275832,1.026472
Female,-0.008171429,0.019657655,0.991861866,0.954373254,1.030823,-0.01772654,0.13977247,0.998228916,0.971253224,1.025954,-0.000261668,0.002636639,0.996656255,0.932862608,1.064812,-0.001834639,0.00249027,0.988145669,0.957287808,1.019998
Male,0.009498266,0.021004726,1.009543518,0.968825276,1.051973,-0.07141798,0.15157918,0.992883644,0.963819428,1.022824,0.004553321,0.002782103,1.060014417,0.988551151,1.136644,0.002470507,0.002654743,1.016187923,0.982393704,1.051145
Warm All,0.03722534,0.01514648,1.037926881,1.007566723,1.069202,0.32267496,0.14681118,1.032793737,1.003498611,1.062944,-0.000454857,0.001927092,0.994194751,0.94727197,1.043442,0.003863151,0.002164756,1.025428405,0.997534534,1.054102
Warm Female,0.03015815,0.01994732,1.030617513,0.991101233,1.071709,0.36715526,0.19059042,1.037397866,0.999360009,1.076884,-0.002498992,0.002559909,0.968519078,0.908273173,1.032761,0.002041786,0.002836482,1.013360068,0.977394255,1.050649
Warm Male,0.04416387,0.02102511,1.04515361,1.002959024,1.089123,0.2698091,0.2063053,1.02734819,0.986635184,1.069741,0.00154279,0.002633236,1.019943988,0.954741255,1.089600,0.00572132,0.003011092,1.037888727,0.998827955,1.078477
Cold All,-0.03624314,0.01498232,0.964405779,0.936497443,0.993146,-0.1948507,0.08561562,0.980703537,0.964383992,0.997299,0.006193723,0.002144472,1.082507008,1.025806509,1.142342,-0.002091862,0.001761188,0.98649492,0.964606881,1.008880
Cold Female,-0.053437932,0.020016048,0.947964777,0.911494803,0.985894,-0.17833,0.1138243,0.982325067,0.960652476,1.004487,0.003218962,0.002859769,1.042063325,0.969918559,1.119574,-0.005475967,0.002362773,0.965032224,0.936415947,0.994523
Cold Male,-0.01886921,0.02154265,0.981307699,0.940735932,1.023629,-0.2139832,0.12401257,0.978829,0.955323948,1.002912,0.009569527,0.003094522,1.130307755,1.045875755,1.221556,0.001262373,0.002508943,1.008239181,0.976521502,1.040987
Age 0-10 All,-0.0388789,0.02711892,0.961867184,0.912075978,1.014377,-0.2686984,0.1868407,0.973487942,0.938482925,1.009799,0.010514637,0.003522799,1.144064593,1.047291568,1.249780,-0.002501784,0.003452342,0.98386991,0.941534363,1.028109
Age 0-10 Female,-0.08237016,0.03843082,0.920931004,0.854110616,0.992979,-0.2328381,0.2552934,0.976985166,0.929302182,1.027115,0.009178789,0.004901073,1.124668695,0.994545311,1.271817,-0.006243784,0.004892308,0.96022793,0.902205823,1.021982
Age 0-10 Male,-0.007761616,0.033625369,0.992268428,0.928980678,1.059868,-0.2969739,0.2382176,0.970739245,0.926456635,1.017138,0.011637241,0.004438959,1.160622716,1.038307602,1.297347,0.000170336,0.004271596,1.001107798,0.948083267,1.057098
Age 11-60 All,0.01073848,0.01990206,1.010796344,0.972126287,1.051005,0.03191049,0.14351978,1.003196146,0.975369576,1.031817,0.000927948,0.002642848,1.01194855,0.947028542,1.081319,-9.42718E-05,0.002518745,0.999387421,0.967827338,1.031977
Age 11-60 Female,0.004588912,0.026018622,1.004599457,0.954652779,1.057159,0.04497216,0.18930424,1.004507344,0.967919443,1.042478,-0.001100163,0.003521283,0.986016602,0.902646717,1.077087,-0.002831184,0.003291539,0.9817656,0.941447304,1.023811
Age 11-60 Male,0.01754303,0.02930704,1.017697813,0.960886706,1.077868,0.01400831,0.20908966,1.001401813,0.961192342,1.043293,0.00331183,0.003802186,1.043302773,0.948382082,1.147724,0.00316562,0.003711458,1.020789686,0.973646045,1.070216
Age 60+All,0.03256568,0.03119947,1.033101745,0.971819413,1.098249,0.1497687,0.2333522,1.015089585,0.969708119,1.062595,-0.008417326,0.004346408,0.897859418,0.805103485,1.001302,0.004880788,0.003924759,1.032233728,0.981889691,1.085159
Age 60+ Female,0.04545664,0.04290485,1.046505627,0.962100017,1.138316,0.1254221,0.3136524,1.012621193,0.952244299,1.076826,-0.010334,0.00596407,0.876099859,0.754347767,1.017503,0.005395275,0.005434385,1.035691467,0.966412249,1.109937
